,TF,Target
129,TAL1,ADGRV1
130,STAT1,MINOS1
131,CEBPB,ACBD4
132,MYH11,SPNS2
133,CEBPB,C16orf86
134,SRF,AP003419.16
135,TAL1,MYCN
136,E2F1,AF213884.2
137,BRCA1,NRP2
138,MAX,BST2
139,ERG,FBXL17
140,E2F1,RP11-112J3.16
141,GATA1,STOML1
142,CDK9,SPG21
143,KLF1,RP11-266J6.2
144,EBF1,HSP90B1
145,FOS,ATP1B2
146,HDAC1,TPCN1
147,FOS,TNRC6B
148,VDR,RNF217
149,KLF1,RP11-76E17.3
150,CEBPB,ZBTB7A
151,KLF1,AC114752.3
152,MYB,TSPO
153,MYH11,IPO9-AS1
154,HDAC1,RP11-336K24.12
155,CEBPB,S1PR2
156,MYB,C1QTNF4
157,MYH11,KANK3
158,KLF1,SYCP3
159,TCF3,GNAI2
160,ERG,MYO1F
161,ERG,C16orf86
162,FOXM1,LINC00885
163,HDAC1,THTPA
164,MAX,GAPDH
165,MYB,GMPPA
166,ERMAP,SRPX
167,TCF3,TICAM1
168,PBX3,DST
169,CEBPB,GRB10
170,ERG,PCAT29
171,TCF3,CALR
172,E2F1,TMEM214
173,VDR,CFAP57
174,MAX,HSPA8
175,E2F1,SSBP3-AS1
176,MTA3,RNU11
177,MYB,THEM6
178,TCF3,COLQ
179,E2F1,ANGPT1
180,E2F1,ID2
181,TAL1,CTC-428G20.6
182,KLF1,ZSCAN9
183,KLF1,CNN2
184,E2F1,GREM1
185,KLF1,ST3GAL4-AS1
186,ERG,ZBTB7A
187,E2F1,TCEAL2
188,TCF12,BSG
189,NOTCH1,IQCC
190,KLF1,PSMB9
191,ERG,FADS1
192,ERMAP,CYP2E1
193,HDAC1,PHF1
194,E2F1,ANG
195,ESRRA,HDAC1
196,SIX5,RP11-46A10.5
197,FOXM1,LL0XNC01-116E7.2
198,ERG,GRB10
199,SIX5,LLGL1
200,MAX,GTSE1
201,BRCA1,RP11-434B12.1
202,TCF3,ZFP62
203,PBX3,PRSS36
204,SIX5,ADORA1
205,SIX5,MITF
206,FOXM1,FOS
207,FOXM1,TIE1
208,CBFB,RNF126
209,SIX5,NEIL3
210,EBF1,NDUFS6
211,GATA1,CENPL
212,FOXM1,DOK6
213,ERG,PHTF1
214,BRCA1,GNAO1
215,KLF1,S100A6
216,GATA1,CTC-1337H24.4
217,FOXM1,ADORA2B
218,HDAC1,IFT122
219,FOXM1,MYL12A
220,VDR,FHOD3
221,ERG,CAPN1
222,SPI1,NCF2
223,FOS,FAM73B
224,FOS,RP11-384K6.8
225,NOTCH1,FANCA
226,CEBPB,CTC-459F4.3
227,CEBPB,TMSB4X
228,BRCA1,GPX4
229,HDAC1,DIRAS1
230,GATA1,ADCY3
231,FOS,ZC3HAV1L
232,ERMAP,RP11-178F10.2
233,CEBPB,SLC47A1
234,ERG,ZNF208
235,SIX5,RP11-362F19.3
236,BRCA1,RP5-994D16.3
237,MAX,LTC4S
238,RUNX3,C12orf75
239,TAL1,CTD-2006K23.2
240,TCF12,ABHD4
241,FOXM1,RP13-270P17.1
242,FOXP1,LRIG1
243,STAT1,BTG2
244,TAL1,KRT86
245,MAX,DHX57
246,E2F1,DNASE1
247,E2F1,PRELID2
248,GATA1,EML2
249,HDAC1,MAP7
250,GATA1,CCDC141
251,SIX5,LINC00346
252,PBX3,DMWD
253,CEBPB,ZMYM3
254,ERG,CCDC151
255,ERMAP,SLC44A4
256,MYB,FBXL22
257,GATA1,RNASEH1-AS1
258,E2F1,RASGEF1A
259,E2F1,GDF7
260,ERG,PRDX5
261,E2F1,PRR29-AS1
262,ERG,CTC-459F4.3
263,ERG,TMSB4X
264,EGR2,AR
265,SIX5,CRIP3
266,MYH11,ADAMTS10
267,ERG,AC016549.1
268,ERG,FLYWCH1
269,GATA1,SOGA1
270,PBX3,ZSWIM4
271,HDAC1,CSF2RB
272,MYH11,TLE2
273,FOXM1,CTD-2540F13.2
274,EGR2,NEK2
275,EGR2,RP11-723D22.3
276,TCF3,PIP4K2A
277,ERG,TTC33
278,E2F1,AP3S1
279,E2F1,NAA38
280,ERG,CHEK1
281,GATA1,SLC7A11
282,MYH11,PAQR4
283,NOTCH1,KREMEN2
284,BCL3,LKAAEAR1
285,MAX,OSBPL3
286,GATA2,DOHH
287,FOXM1,SLC4A3
288,KLF1,C11orf49
289,E2F1,SHMT1
290,NOTCH1,CTB-58E17.1
291,ETS1,ARPC5L
292,VDR,DLX4
293,VDR,ACPP
294,SIX5,H2AFZ
295,ERMAP,CTD-2308L22.1
296,KLF1,SPG21
297,MYB,RTN4
298,ERG,ACOT4
299,BCL3,GSE1
300,CEBPB,GNG3
301,FOS,IGHV1-69-2
302,ERG,LSINCT5
303,HDAC1,PLCXD2
304,KLF1,MIER3
305,MYB,UNG
306,KLF1,RPLP2
307,MYH11,DNASE1
308,MYH11,PRELID2
309,EBF1,NUCB1
310,MAX,SSC5D
311,FOXM1,CYYR1
312,VDR,RP11-214N9.1
313,GATA1,RP11-156K13.3
314,FOS,RP11-54C4.3
315,MYB,MEX3C
316,E2F1,LINC00910
317,CEBPB,EFCAB12
318,E2F1,WSB1
319,ERG,SOCS6
320,HDAC1,RP11-326C3.15
321,TCF3,CREB3L4
322,NOTCH1,RP5-1092A3.4
323,HDAC1,HILPDA
324,MYB,HEMGN
325,FOXM1,RP11-84A19.2
326,SIX5,GPR153
327,CEBPB,CEP128
328,MYB,DNAJC17
329,VDR,KCND3
330,FOXM1,RP11-148O21.6
331,MYB,RP11-356I2.4
332,GATA1,RP11-81H14.2
333,GATA1,VEGFB
334,E2F1,BRCA2
335,ERG,HBEGF
336,SIX5,PPARGC1B
337,ERG,GNG3
338,E2F1,ZBTB18
339,CEBPB,HIST1H2AE
340,MYH11,NAA38
341,GATA2,CDCA7
342,VDR,ANKDD1B
343,E2F1,PEAK1
344,NOTCH1,AP003419.16
345,KLF1,RP11-791G15.2
346,EBF1,IL6
347,FOS,FSIP1
348,MAX,FAM151B
349,ERG,AC009506.1
350,CEBPB,LAMC1
351,TCF12,PLEKHG4
352,CEBPB,STARD4-AS1
353,BRCA1,RP3-455J7.4
354,HDAC1,PPCDC
355,ERG,RP11-212I21.4
356,FOXM1,OCRL
357,SIX5,CTD-2369P2.10
358,BRCA1,FLJ21408
359,ERG,CEP128
360,BRCA1,KLHL14
361,VDR,SULT2A1
362,FOS,CTD-2616J11.14
363,TAL1,PROSER2
364,ERMAP,RASD1
365,TCF3,SERPINE2
366,HDAC1,TRDV2
367,KLF1,ADGRG3
368,MAX,TMCO1
369,BRCA1,RP11-531F16.4
370,SIX5,RP11-486I11.2
371,MYH11,WSB1
372,SIX5,CCDC24
373,TCF3,RP13-1032I1.7
374,ERG,CENPU
375,FOXM1,CKAP2
376,SIX5,RP4-647C14.2
377,KLF1,TNFAIP8
378,KLF1,ALDOA
379,FOS,PVRIG
380,ERG,KCNMB3
381,KLF1,GSTZ1
382,MEIS1,LINC00346
383,ERG,STARD4-AS1
384,NOTCH1,DUSP2
385,SIX5,H1FX-AS1
386,ERG,KCTD5
387,MAX,RP11-10C24.3
388,E2F1,GTF3C5
389,GATA1,CANX
390,PBX3,PCNT
391,EBF1,DFNA5
392,E2F1,TXN
393,HDAC1,LOXL1
394,MYB,RP11-77K12.9
395,KLF1,CHL1
396,TCF12,FANCG
397,BRCA1,SLITRK5
398,PBX3,ACTR3B
399,VDR,TTC7B
400,MYH11,TMEM184B
401,PBX3,RPS8
402,NOTCH1,PTPN9
403,TAL1,CTC-523E23.1
404,MAX,H3F3B
405,FOXM1,PMP22
406,TCF12,LIMD1
407,BRCA1,NLRP2
408,KLF1,TAMM41
409,E2F1,RP11-41O4.1
410,MYB,ZNF500
411,FOS,AGAP1
412,TCF3,GYLTL1B
413,MYB,GMDS-AS1
414,MTA3,AKIRIN2
415,FOXM1,NCKAP1
416,GATA1,KIAA1919
417,MAFK,GDI2
418,FOS,SOX15
419,FOXM1,BZRAP1
420,IRF4,IL2RA
421,ERMAP,LL0XNC01-237H1.2
422,TCF3,CTD-2544N14.3
423,EGR2,PCDHGA8
424,EGR2,C1QC
425,E2F1,SGPL1
426,PBX3,LRRC56
427,KLF1,ANKS3
428,TCF3,LCP1
429,E2F1,TBKBP1
430,ETS1,FAM214B
431,ERG,METTL13
432,CEBPB,RP4-633O19__A.1
433,ERMAP,TSC22D1-AS1
434,FOS,ADAMTS1
435,FOS,SEMA6A
436,E2F1,EDN3
437,EBF1,ZFP36
438,ERG,ACVR2B
439,IRF4,ARPC2
440,FOS,INTS4
441,KLF1,ARSG
442,HDAC1,KANK1
443,E2F1,SLC39A9
444,MYH11,TXN
445,MYB,PKMYT1
446,ERG,PHLDA1
447,PBX3,HMGB2
448,E2F1,C9orf135
449,SRF,FADS2
450,FOS,USHBP1
451,CEBPB,CTD-2003C8.2
452,BRCA1,KCNJ12
453,HDAC1,MAPK6
454,EGR2,ZNF697
455,PBX3,SFXN3
456,ERG,ZNF318
457,TAL1,RP11-1152H14.1
458,MAX,RPL21
459,MAX,SHQ1
460,ERMAP,KPTN
461,CEBPB,ZNF395
462,MYH11,AMH
463,SPI1,NR2C2AP
464,MYH11,CARM1
465,FOXM1,PVT1
466,MYH11,TP53I11
467,MAX,PPA1
468,VDR,RP11-37B2.1
469,SIX5,UHRF1
470,SIX5,BSN-AS2
471,MAX,CDK5
472,MYB,DOCK9
473,ERG,CCNDBP1
474,EGR2,IGKV1-9
475,MYH11,SLC37A2
476,ERG,RP11-278C7.4
477,FOXM1,TULP3
478,STAT1,PDE4C
479,KLF1,DGKE
480,MYH11,SGPL1
481,MYH11,TBKBP1
482,VDR,CTB-193M12.5
483,HDAC1,CTNNAL1
484,HDAC1,CLTCL1
485,MAX,MTERF1
486,CDK9,ARIH2OS
487,E2F1,FGFBP3
488,ERG,SDC4
489,TCF3,CCDC127
490,SIX5,LDLRAD2
491,HDAC1,NT5DC2
492,STAT1,ARHGAP31
493,SIX5,IGKV1-5
494,PBX3,RAB12
495,TAL1,SHE
496,BRCA1,AKAP6
497,GATA1,PHB
498,PBX3,IL2RG
499,ERMAP,CHADL
500,FOS,AC007038.7
501,ERG,CTD-3222D19.8
502,MAX,RBX1
503,HDAC1,SSH1
504,SRF,ZDHHC1
505,ZEB1,CBR3
506,KLF1,RP11-53O19.1
507,BRCA1,CCDC188
508,E2F1,SCARA5
509,GATA1,TMEM246
510,EBF1,RP11-400F19.6
511,BRCA1,FCHO2
512,ERG,ADGRE3
513,NOTCH1,PELI2
514,HDAC1,TOB1
515,VDR,RP11-722E23.2
516,KLF1,ENPP2
517,HDAC1,ACSBG1
518,ETS1,RRP12
519,BRCA1,COL13A1
520,MYB,MYO1C
521,MYB,SEC11A
522,KLF1,ELMOD2
523,MAX,UPF3A
524,E2F1,LCN8
525,FOS,LINC00266-1
526,KLF1,AP000487.5
527,PBX3,EMP1
528,FOS,COX7B
529,FOXM1,CTRC
530,ERG,CCR4
531,ERG,STXBP6
532,BRCA1,PDE7B
533,BRCA1,LINC00671
534,BRCA1,IGHV5-78
535,VDR,RPL19
536,GATA1,HMHB1
537,MAX,USP13
538,GATA1,H2BFS
539,MYB,RP11-326C3.11
540,ERG,DSTN
541,ERG,C2orf47
542,ERMAP,CLSPN
543,SPI1,QKI
544,BRCA1,CRYGD
545,FOS,RP11-673E1.1
546,FOXM1,IGLV7-46
547,HDAC1,TFCP2
548,VDR,HLA-E
549,ERMAP,DNAH10
550,PBX3,SNX24
551,CEBPB,VAPB
552,MAX,PM20D2
553,FOS,TMEM8B
554,MYB,P2RX1
555,GATA1,TMOD3
556,NOTCH1,GPC2
557,E2F1,VPS37C
558,ERG,BHLHB9
559,ETS1,DCTN4
560,SPI1,MTCH2
561,ERG,STYXL1
562,E2F1,RP11-696N14.1
563,BRCA1,MIR3179-3
564,SPI1,ENTPD1
565,SRF,TSPAN10
566,FOXM1,RP5-943J3.2
567,HDAC1,BRCA1
568,ERG,FAM127A
569,GATA1,BOLA3-AS1
570,TCF3,RP11-407N17.5
571,ERMAP,TREML4
572,ERG,TNFRSF11A
573,MAX,RNF166
574,ERG,ABCB10
575,PBX3,SLC2A1
576,HDAC1,MBOAT1
577,CEBPB,BCKDHB
578,GATA1,NR4A2
579,KLF1,FIBP
580,HDAC1,ARF4
581,ERMAP,RP1-197B17.3
582,ERMAP,PDLIM3
583,ERMAP,CTD-2288F12.1
584,E2F1,GHRL
585,E2F1,SELO
586,BRCA1,ARG2
587,NOTCH1,TECPR2
588,TCF3,PFN2
589,TFAP4,PRELID1
590,E2F1,RGS2
591,IRF4,APOA1
592,MYB,AKNA
593,ERMAP,RP11-830F9.6
594,CEBPB,LINC00936
595,HDAC1,RNF19B
596,MYH11,VPS37C
597,FOXM1,CHRFAM7A
598,E2F1,C8G
599,BRCA1,CTD-2201I18.1
600,GATA1,RP11-556E13.1
601,ERG,ICAM2
602,SIX5,MCM4
603,MAX,LINC00324
604,ERMAP,TPBG
605,ERG,MAFTRR
606,MYB,KIAA1324
607,KLF1,HRASLS2
608,ERG,WT1-AS
609,MYB,RPH3AL
610,SRF,PFKFB4
611,CEBPB,AP2S1
612,VDR,RPL10A
613,EGR2,RP11-567J20.3
614,MAX,FBXL16
615,CEBPB,CTC-273B12.10
616,EGR2,FLT1
617,PBX3,CCT3
618,KLF1,LINC00895
619,MAX,RRP36
620,KLF1,CNKSR2
621,TAL1,MTURN
622,ERMAP,LBX2-AS1
623,CREB1,PNN
624,CEBPB,COLGALT2
625,CEBPB,FARS2
626,NOTCH1,FADS2
627,ERMAP,RP11-230C9.2
628,SRF,DESI2
629,FOS,RP11-746M1.1
630,SIX5,PVRL2
631,ERG,ADGRA2
632,IRF4,MB21D2
633,TCF3,ST18
634,MAX,NRP2
635,TCF12,CLCF1
636,VDR,PLEKHG4B
637,HDAC1,TATDN2
638,ERG,AP2S1
639,SIX5,HIST1H1B
640,TCF3,EMP3
641,FOS,GP5
642,E2F1,BYSL
643,FOXM1,PDCD1
644,KLF1,SUSD4
645,TCF3,DYRK1B
646,MYH11,C8G
647,KLF1,ACSS2
648,FOS,TRAV17
649,E2F1,RP11-265N6.1
650,ERG,NEK6
651,CEBPB,SLC17A5
652,ERG,COLGALT2
653,ERG,FARS2
654,MYB,TNFRSF10B
655,NOTCH1,GAPDH
656,TCF12,TMEM241
657,EGR2,ANKRD20A2
658,NOTCH1,BTG1
659,SIX5,ZNF442
660,VDR,PDE2A
661,GATA1,RP11-182J1.17
662,CEBPB,KIFC3
663,KLF1,STK10
664,GATA1,RPL35A
665,TCF3,SZT2
666,TCF12,SCARB1
667,ERG,SAMD14
668,SRF,FCHSD1
669,GATA1,CDKN2C
670,GATA1,HMHA1
671,MYB,TRIM47
672,ERG,NIPSNAP3B
673,ERMAP,RP11-351M16.4
674,HDAC1,NPL
675,ERMAP,RP11-624C23.1
676,KLF1,TRAPPC5
677,EGR2,VPREB1
678,CEBPB,ZNF507
679,ERG,SLC17A5
680,PBX3,SMAD7
681,TCF12,PROC
682,CEBPB,EPS8L2
683,SRF,HIST1H2BB
684,VDR,RNU6ATAC35P
685,HDAC1,IL11RA
686,VDR,HTR1F
687,GATA2,GALNT3
688,SIX5,BARD1
689,ERG,LILRB5
690,FOS,HBD
691,CEBPB,USP53
692,ERG,TPX2
693,KLF1,MLYCD
694,GATA1,PDCD10
695,SIX5,LA16c-349E10.1
696,SIX5,LINC01374
697,TAL1,TPRG1L
698,MYB,COL9A3
699,SPI1,SEC14L1
700,TFAP4,SFMBT1
701,MYH11,SYNGAP1
702,ERG,MNT
703,E2F1,LFNG
704,GATA1,RP11-325F22.2
705,E2F1,PHF19
706,TCF3,FRMD3
707,E2F1,CDC37L1
708,ERG,ARHGAP21
709,MYB,TSPAN5
710,BRCA1,CTB-41I6.1
711,KLF1,ADRB1
712,TCF3,DNMBP
713,POU2F1,TUBB
714,BRCA1,FCGR3B
715,KLF1,GALNT6
716,ERG,RP11-160N1.10
717,FOXM1,RPS28
718,BRCA1,HPDL
719,BRCA1,EPDR1
720,STAT1,KSR1
721,CEBPB,PRKAR1B
722,CEBPB,HIST1H4J
723,MAX,GPX4
724,GATA1,RP11-769O8.1
725,FOXM1,S100A13
726,BRCA1,PIF1
727,ETS1,EIF4G3
728,E2F1,RP11-71G12.1
729,FOS,OTUD7A
730,E2F1,CC2D2A
731,FOS,RP11-89G4.1
732,KLF1,RP11-369E15.3
733,ERMAP,CTD-2135D7.5
734,ERG,MERTK
735,CEBPB,BAX
736,ERMAP,CHN1
737,MAX,RP5-994D16.3
738,FOS,RILPL1
739,ERG,ZNF205
740,ERMAP,ABALON
741,FOXM1,LRRC32
742,SIX5,HTR3A
743,MAX,ZRANB2
744,HDAC1,RP11-424N24.2
745,E2F1,GINS4
746,KLF1,RP11-338I21.1
747,KLF1,CXCR4
748,TCF3,CAP1
749,KLF1,C9orf47
750,SIX5,JAG1
751,KLF1,RPL32
752,ERG,ZEB2-AS1
753,NOTCH1,TSPAN10
754,TCF12,CAPN5
755,SRF,CDK5
756,SIX5,TEKT2
757,EBF1,RTN4
758,MYB,SMIM3
759,MYB,SNCG
760,FOXM1,SYNGR3
761,ERMAP,CEBPE
762,CEBPB,FAM229B
763,SIX5,RBFOX2
764,SIX5,CBWD7
765,ERG,SSPN
766,ERG,TRIQK
767,MYH11,PHF19
768,KLF1,PLD1
769,FOS,C9orf3
770,VDR,RP1-193H18.2
771,VDR,C15orf52
772,EGR2,RP11-525A16.4
773,ERG,BAX
774,POU2F2,MADD
775,SIX5,IL4I1
776,SRF,TSPAN2
777,TCF12,ABCB6
778,NOTCH1,DPY19L1
779,E2F1,CFH
780,KLF1,FAR2
781,ETS1,C4orf33
782,E2F1,GSTP1
783,ERMAP,RP6-99M1.3
784,LMO2,LPCAT2
785,ERG,PGPEP1
786,E2F1,HERPUD1
787,ETS1,ADAP1
788,VDR,E2F2
789,CEBPB,FAM228B
790,SIX5,OPLAH
791,BRCA1,PDGFB
792,SIX5,MREG
793,TCF3,RP11-347C12.10
794,FOS,INPP5E
795,E2F1,LENG8-AS1
796,EGR2,SBF2-AS1
797,E2F1,RP11-21M24.2
798,ERG,RP11-823E8.3
799,E2F1,RNF122
800,SIX5,IER5L
801,CEBPB,SCAF1
802,KLF1,C17orf64
803,TAL1,GATA3-AS1
804,GATA1,MAP1LC3B
805,E2F1,ABCA3
806,GATA1,RTCA-AS1
807,SIX5,PLCB3
808,KLF1,NCAPG
809,KLF1,RP11-431M7.3
810,EGR2,RP11-598F7.3
811,MAX,RAB11A
812,E2F1,DAGLB
813,FOS,ACE
814,SRF,SYCE3
815,FOXM1,NAGS
816,NOTCH1,FNBP4
817,FOS,ZNF213-AS1
818,FOS,LYPD6B
819,EGR2,SEZ6L
820,CEBPB,HMGA2
821,PBX3,PMS2
822,HDAC1,FMNL2
823,MYB,PRMT7
824,TCF3,ZNF821
825,MYB,STK11
826,GATA1,RP11-452H21.4
827,E2F1,PLEKHO2
828,VDR,RAB39A
829,E2F1,NCK1-AS1
830,ERG,GNAL
831,JUND,FCRLB
832,ERG,FAM228B
833,BRCA1,CFAP157
834,TAL1,STK32B
835,VDR,PNPLA1
836,ERMAP,RP4-597N16.4
837,PBX3,ATP5I
838,E2F1,SAMD5
839,NOTCH1,RP3-441A12.1
840,ERG,BIRC7
841,TCF12,AMPD3
842,HDAC1,PLCH2
843,HDAC1,JADE3
844,TAL1,FFAR3
845,EGR2,ST6GALNAC3
846,FOXM1,RAB7A
847,EGR2,RP11-446E24.4
848,GATA1,S100P
849,ERMAP,GDA
850,ERMAP,PARM1
851,MYB,RNF43
852,FOXP1,MT-ND1
853,ERG,LMNTD2
854,PBX3,PPIB
855,SIX5,TMCC2
856,EGR2,SLC25A34
857,MYH11,GSTP1
858,BRCA1,SLC18A2
859,FOXM1,WDR83OS
860,MYH11,HERPUD1
861,CEBPB,RHBDD1
862,FOXP1,MKL1
863,SIX5,ADGRV1
864,VDR,KCNIP2-AS1
865,SIX5,MYCN
866,FOS,FMO5
867,MAX,FLJ21408
868,MYH11,RNF122
869,SIX5,ZNF831
870,ERG,SCN3A
871,MYB,SMAD6
872,HDAC1,IL32
873,SIX5,SOBP
874,ERG,LINGO2
875,EBF1,EPB42
876,KLF1,CPXM1
877,ERG,RBPJ
878,ETS1,NUCB2
879,FOXM1,TTK
880,FOXM1,HFE
881,STAT1,ACSM3
882,EBF1,SHISA8
883,BRCA1,RP11-805J14.5
884,EGR2,RRAD
885,FOXM1,CTD-2031P19.5
886,HDAC1,TGFBR3L
887,MAX,HMGA1
888,GATA1,TDRP
889,MYH11,FGD6
890,ERG,RHBDD1
891,GATA1,PDCD4
892,E2F1,AIMP2
893,PBX3,PTP4A2
894,FOXM1,IGSF10
895,TCF3,MAP3K6
896,ERG,JAZF1-AS1
897,VDR,RP11-462G2.1
898,BRCA1,EXTL3
899,VDR,LARGE
900,CEBPB,LINC00239
901,IRF4,IL16
902,KLF1,ZNF441
903,SIX5,CTC-428G20.6
904,LMO2,C12orf65
905,E2F1,KIAA0368
906,PBX3,TTC19
907,MYB,RHOA
908,NOTCH1,SLC29A1
909,KLF1,NDUFAF1
910,CEBPB,ZNF786
911,EGR2,FAM64A
912,ERG,KIF2C
913,USF2,CTIF
914,FOS,MAP2
915,FOXM1,GTSCR1
916,GATA1,RPRD1B
917,GATA1,COPZ2
918,SPI1,MID1IP1
919,PBX3,MROH6
920,HDAC1,NAT8L
921,HDAC1,CDK11B
922,MYB,CTDP1
923,PBX3,NAA40
924,FOXM1,ADHFE1
925,BRCA1,ZNF618
926,BRCA1,FAM81A
927,FOXM1,UHRF1BP1
928,CEBPB,HHAT
929,FOXM1,PAPSS2
930,TCF12,PRDX1
931,FOS,LRFN2
932,GATA1,AC007381.3
933,ERG,AJ006998.2
934,HDAC1,IMPAD1
935,SIX5,POLR2L
936,E2F1,RPL3
937,ERG,CEBPB
938,BRCA1,EPHX4
939,ERG,SMG5
940,MYB,LRP10
941,CREB1,SECISBP2
942,TCF12,IGFBP6
943,FOXM1,AF129408.17
944,JUND,GFOD1
945,ERMAP,IQCC
946,KLF1,MYLPF
947,ETS1,FUCA1
948,E2F1,RP11-466P24.6
949,VDR,SCHIP1
950,EBF1,MPC1
951,TCF12,ALG1
952,ERG,ZNF786
953,ERG,FAM72A
954,CEBPB,PTK2
955,E2F1,RP11-863P13.3
956,ETS1,GABPB1-AS1
957,TAL1,GPRC5B
958,EGR2,CTD-2349P21.12
959,FOS,RGS5
960,ETS1,CMPK1
961,TCF3,USP6NL
962,FOXM1,MRAS
963,VDR,S100B
964,PBX3,SSTR3
965,ETS1,KDM1B
966,HDAC1,APOL4
967,PBX3,SEPT10
968,MAX,PPP2R5B
969,VDR,OIP5
970,FOXM1,RP11-298E9.5
971,SIX5,CTD-2006K23.2
972,EBF1,HCST
973,ERG,FAM102B
974,BRCA1,RP1-244F24.1
975,NOTCH1,CDK5
976,VDR,RPS18
977,SIX5,KRT86
978,HDAC1,RP11-428K3.1
979,PBX3,CLEC17A
980,SRF,CDCA3
981,FOS,NF2
982,TCF3,SNTA1
983,KLF1,PLCD1
984,ERG,BAHCC1
985,MEIS1,TMCC2
986,FOXM1,XBP1
987,ERG,PTK2
988,ERMAP,MSLN
989,E2F1,RAB11FIP3
990,ERG,SLC2A5
991,CEBPA,MOAP1
992,ERG,RAB7B
993,FOXM1,KCNH8
994,TCF3,CHMP1B
995,ERG,RP11-473M20.9
996,EGR2,CEL
997,E2F1,CTD-2012K14.6
998,HDAC1,UBE2L6
999,FOXM1,DZANK1
1000,FOXM1,SERPINI2
1001,NOTCH1,CABP4
1002,EBF1,MYO1C
1003,PBX3,RP3-402G11.25
1004,HDAC1,ZNF519
1005,FOXM1,RP11-16E12.1
1006,MYB,DHTKD1
1007,TCF3,PARL
1008,MYH11,BMF
1009,CEBPB,IPO9-AS1
1010,ETS1,ADAP2
1011,ERG,PSRC1
1012,ERMAP,TMTC1
1013,FOXM1,RP11-111M22.2
1014,CEBPB,KANK3
1015,NOTCH1,WIPF1
1016,MYH11,MKL2
1017,ETS1,RBBP7
1018,EGR2,NPW
1019,MAX,FCHO2
1020,E2F1,KIAA0196
1021,VDR,GPD2
1022,TCF3,DIAPH1
1023,E2F1,ARPC3
1024,ERMAP,LHFPL2
